행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
국악실내악단 도시락과 함께하는 ’토끼의 간을 찾아라’,영도문화예술회관 절영홀,누구나 알고 있는 토끼의 간 이야기를 음악으로 풀어내어 국악그룹 도시락만의 별주부전으로 구민과 함께 즐길 수 있는 공연,2024-03-27,2024-03-27,19:30,20:40,유료,영도문화예술회관+국악실내악단도시락,영도문화예술회관+국악실내악단도시락,051-419-5571,,153,일반 10000원,전 연령 관람가,50할인(VIP회원+정기회원+65세 이상+유공자+심한 장애+심하지 않은 장애+학생+다자녀+임산부+자랑스런 영도인상 수상자),,http://www.yeongdo.go.kr/culture.web,http://www.yeongdo.go.kr/culture.web,Y,부산광역시 영도구 함지로79번길 6,부산광역시 영도구 동삼동 516-1,35.075268,129.066862,2025-09-05,3280000,부산광역시 영도구
콘서트 가이드 김성민과 함께하는 ’봄의 멜로디’,영도문화예술회관 봉래홀,"역사, 미술, 여행 이야기가 함께하는 콘서트가이드 김성민의 시그니처 강의와 뉴재즈 스트링이 함께하는 공연",2024-04-12,2024-04-12,19:30,20:40,유료,영도문화예술회관+예술기획 젬마,영도문화예술회관,051-419-5571,,428,일반 10000원,초등학생 이상 관람가,30할인(정기회원+심하지 않은 장애+학생+다자녀+임산부)+50할인(VIP회원+65세 이상+유공자+심한 장애+자랑스런 영도인상 수상자),,http://www.yeongdo.go.kr/culture.web,http://www.yeongdo.go.kr/culture.web,Y,부산광역시 영도구 함지로79번길 6,부산광역시 영도구 동삼동 516-1,35.075268,129.066862,2025-09-05,3280000,부산광역시 영도구
장귀자 사진전 고향정담Ⅱ,창녕문화예술회관 대전시실,전시,2024-03-19,2024-03-24,10:00,17:00,무료,장귀자,장귀자,055-530-1911,,,,전 연령,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
2024 중견작가전 붓/에/노/닐/다,창녕문화예술회관 소전시실,전시,2024-03-19,2024-04-21,10:00,17:00,무료,경상남도 창녕군청+창녕문화예술회관,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,,,전 연령,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
힐링코미디연극 수상한집주인,창녕문화예술회관 대공연장,연극,2024-03-20,2024-03-20,14:00,15:25,유료,경상남도 창녕군청+창녕문화예술회관,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,1층: 15000원+2층: 11000원,5세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
힐링코미디연극 수상한집주인,창녕문화예술회관 대공연장,연극,2024-03-20,2024-03-20,19:00,20:25,유료,경상남도 창녕군청+창녕문화예술회관,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,1층: 15000원+2층: 11000원,5세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
파묘,창녕문화예술회관 대공연장,영화,2024-03-22,2024-03-22,19:00,21:14,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,9000원,15세 이상,6000원(청소년+만65세 이상 경로자)+5000원(장애인+국가유공자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
파묘,창녕문화예술회관 대공연장,영화,2024-03-23,2024-03-23,14:00,16:14,유료,CJ CGV,경상남도 창녕군청,055-530-1911,,496,9000원,15세 이상,6000원(청소년+만65세 이상 경로자)+5000원(장애인+국가유공자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
2024 신춘음악회 찔레꽃,창녕문화예술회관 대공연장,음악회,2024-03-28,2024-03-28,19:00,20:30,유료,경상남도 창녕군청+창녕문화예술회관,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,1층: 30000원+2층: 20000원,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
일본사쓰마센다이시문화협회.창녕문화원 문화교류 합동공연,창녕문화예술회관 대공연장,콘서트,2024-03-30,2024-03-30,14:00,16:00,무료,창녕문화원,창녕문화원,055-530-1911,경상남도 창녕군청+창녕군의회,496,,전 연령,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
동심 윤현숙일러스트전,창녕문화예술회관 대전시실,전시,2024-04-02,2024-04-14,10:00,17:30,무료,윤현숙,윤현숙,055-530-1911,,,,전 연령,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
고질라×콩 뉴엠파이어,창녕문화예술회관 대공연장,영화,2024-04-05,2024-04-05,19:00,20:55,유료,CJ CGV,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,9000원,12세 이상,6000원(청소년+만65세 이상 경로자)+5000원(장애인+국가유공자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
고질라×콩 뉴엠파이어,창녕문화예술회관 대공연장,영화,2024-04-06,2024-04-06,14:00,15:55,유료,CJ CGV,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,9000원,12세 이상,6000원(청소년+만65세 이상 경로자)+5000원(장애인+국가유공자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
MOM편한 힐링토크콘서트,창녕문화예술회관 대공연장,강좌,2024-04-17,2024-04-17,10:30,12:00,무료,창녕군육아지원센터,창녕군육아지원센터,055-533-8482,,496,,18세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
댓글부대,창녕문화예술회관 대공연장,영화,2024-04-19,2024-04-19,19:00,20:49,유료,CJ CGV,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,9000원,15세 이상,6000원(청소년+만65세 이상 경로자)+5000원(장애인+국가유공자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
2024 찾아가는 도립미술관,창녕문화예술회관 대공연장,전시,2024-04-19,2024-05-16,09:00,18:00,무료,경남도립미술관+창녕문화예술회관,경남도립미술관+창녕문화예술회관,055-530-1911,,496,,전 연령,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
댓글부대,창녕문화예술회관 대공연장,영화,2024-04-20,2024-04-20,14:00,15:49,유료,CJ CGV,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,9000원,15세 이상,6000원(청소년+만65세 이상 경로자)+5000원(장애인+국가유공자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
신풍회원전,창녕문화예술회관 소전시실,전시,2024-04-23,2024-04-28,10:00,17:00,무료,공병찬,공병찬,055-530-1911,,,,전 연령,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
범죄도시4,창녕문화예술회관 대공연장,영화,2024-05-03,2024-05-03,19:00,20:49,유료,CJ CGV,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,9000원,15세 이상,6000원(청소년+만65세 이상 경로자)+5000원(장애인+국가유공자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
범죄도시4,창녕문화예술회관 대공연장,영화,2024-05-04,2024-05-04,14:00,15:49,유료,CJ CGV,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,9000원,15세 이상,6000원(청소년+만65세 이상 경로자)+5000원(장애인+국가유공자),,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
신데렐라의 모래이야기,창녕문화예술회관 대공연장,오페라,2024-05-09,2024-05-09,19:30,20:40,유료,경상남도 창녕군청+창녕문화예술회관,경상남도 창녕군청+창녕문화예술회관,055-530-1911,,496,1층: 20000원+2층: 15000원,36개월 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
희망의 울림 콘서트 - 우크라이나 유니온 쳄버 오케스트라 내한공연,백조홀,공연클래식,2025-06-21,2025-06-21,17:00,18:40,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,229,1000원,8세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
6월 문화가 있는 날 콘서트 김주리밴드 해금 누리 콘서트,백조홀,공연국악,2025-06-25,2025-06-25,19:30,20:50,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,229,5000원,5세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
서울예술단 창작가무극 천 개의 파랑,웅부홀,공연뮤지컬,2025-06-27,2025-06-27,19:30,22:00,유료,안동문화예술의전당+서울예술단,예술경영지원센터,054-840-3600,,698,1000원,8세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
2025 안동 글로벌 영아티스트 콩쿠르 1차 개인 연주심사,웅부홀,공연클래식,2025-07-01,2025-07-01,11:00,14:00,무료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,228,,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
2025 안동 글로벌 영 아티스트 콩쿠르 2차 연주 심사,웅부홀,공연클래식,2025-07-04,2025-07-04,10:30,14:00,무료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,228,,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
2025 안동 글로벌 영아티스트 콩쿠르 3차 개인 연주 본선,웅부홀,공연클래식,2025-07-05,2025-07-05,10:30,14:00,무료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,228,,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
7월 브런치 콘서트 문학평론가 허희의 음악 미술 만남 시리즈 1 클림트에서 베토벤을 듣다,백조홀,공연클래식,2025-07-09,2025-07-09,11:00,12:00,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,100,20000원,8세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
천하제일탈공작소 아가멤논,웅부홀,공연복합,2025-07-10,2025-07-10,19:30,20:40,유료,안동문화예술의전당+천하제일탈공작소,예술경영지원센터,054-840-3600,,698,무대석 20000원+R석 20000원+S석 10000원,8세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
명작 시네클래식,백조홀,공연클래식,2025-07-11,2025-07-11,19:30,20:40,무료,경북문화재단+복사꽃아트컴퍼니,경북문화재단+복사꽃아트컴퍼니,,,229,,6세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
한경arte필하모닉과 함께하는 2025 안동 글로벌 영 아티스트 위너 콘서트,웅부홀,공연클래식,2025-07-12,2025-07-12,17:00,19:00,무료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,698,,5세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
제38회 안동전국사진공모전,34갤러리,전시사진,2025-07-18,2025-07-20,10:00,17:00,무료,한국사진협회안동시지부,한국사진협회안동시지부,054-841-2213,,,,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
7월 문화가 있는 날 콘서트 마리오네트 낭만유랑극단,백조홀,공연연극,2025-07-24,2025-07-25,19:30,20:50,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,229,5000원,5세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
안동문화예술의전당 청소년을 위한 클래식 음악나드리 1 지휘자 금난새의 청소년을 위한 음악회,웅부홀,공연클래식,2025-07-25,2025-07-25,19:30,21:10,무료,안동문화예술의전당+경상북도,안동문화예술의전당,054-840-3600,,698,,5세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
7월 문화가 있는 날 콘서트 레트로 연극 돌아와요 미자씨,백조홀,공연클래식,2025-07-30,2025-07-30,19:30,20:50,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,229,5000원,5세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
광복 80주년 기념 다시 만난 이육사,상설갤러리,전시복합,2025-08-01,2025-08-23,10:00,19:00,무료,안동문화예술의전당+이육사문학관,안동시,054-840-3600,,,,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
연극 꽃 별이 지나,웅부홀,공연연극,2025-08-01,2025-08-01,19:30,21:00,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,698,R석 20000원+S석 10000원,8세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
로비음악회 휴앤아트 Flower Blooms Day,웅부홀 로비,공연클래식,2025-08-05,2025-08-05,11:00,12:00,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,50,10000원,5세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
8월 브런치 콘서트 두 대의 피아노 하나의 이야기,백조홀,공연클래식,2025-08-06,2025-08-06,11:00,12:00,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,100,20000원,8세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
광복 80주년 기념 창작오페라 광야의 꽃 이육사,웅부홀,공연오페라,2025-08-06,2025-08-06,19:30,21:00,무료,로얄오페라단,경상북도,,,698,,7세 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
제3회 보은 예술제,보은문화예술회관 및 보은문화원,"보은청소년한마음예술제, 시화 전시회 등",2024-04-17,2024-04-21,19:00,21:00,무료,보은예총,보은예총,043-540-3373,,100,,,,,,,Y,충청북도 보은군 보은읍 뱃들로 54,,36.48694626,127.7241379,2024-12-02,4420000,충청북도 보은군
제19회 보은동학제,"문화예술회관, 뱃들공원, 동학농민혁명기념공원",보은 동학농민혁명 정신 계승·발전,2024-06-14,2024-06-15,09:00,21:00,무료,보은문화원,보은동학제추진위원회,043-540-3375,,200,,,,,,,Y,충청북도 보은군 보은읍 동학로 236-4,,36.51415799,127.7577082,2024-12-02,4420000,충청북도 보은군
(공연) 국립국악원 <종묘제례악>,세종예술의전당,조선왕실이 탄생시킨 최고의 걸작,2024-02-22,2024-02-22,19:30,21:30,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,R 30000+ S 20000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 세종-부산 시립청소년교향악단 교류음악회 <우리의 봄>,세종예술의전당,세종시와 부산시의 청소년 교향악단 교류음악회,2024-03-09,2024-03-09,17:00,18:30,무료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 2024년 세종시립청소년교향악단 제3회 정기연주회,세종예술의전당,세종-부산 시립청소년교향악단 교류음악회,2024-03-09,2024-03-09,17:00,19:00,무료,세종시문화관광재단,세종특별자치시,044-850-8964,,915,,8세 이상,,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 연극 <고도를 기다리며>,세종예술의전당,대배우 신구-박근형의 열연이 돋보이는 스테디셀러 연극,2024-03-15,2024-03-15,19:30,21:30,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,R 50000+ S 30000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 연극 <고도를 기다리며>,세종예술의전당,대배우 신구-박근형의 열연이 돋보이는 스테디셀러 연극,2024-03-16,2024-03-16,15:00,17:00,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,R 50000+ S 30000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 체코 브르노 국립주니어 발레단 내한공연,세종예술의전당,2022년 신생 창단한 체코 브르노 국립주니어 발레단의 내한공연,2024-03-22,2024-03-22,19:30,21:00,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,R 50000+ S 30000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 인기현상과 함께하는 여민락콘서트 - 선물,세종예술의전당,<팬텀싱어> 시즌1 준우승팀 인기현상의 공연,2024-03-29,2024-03-29,19:30,21:30,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,전석 10000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 스타인웨이 위너 페스티벌,세종예술의전당,스타인웨이 콩쿠르 우승자들의 향연,2024-03-29,2024-03-29,19:30,21:30,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,VIP 90000+ R 70000+ S 50000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 스타인웨이 위너 페스티벌,세종예술의전당,스타인웨이 콩쿠르 우승자들의 향연,2024-03-30,2024-03-30,17:00,19:00,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,VIP 90000+ R 70000+ S 50000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 매직드로잉 가족극 <두들팝>,세종문화예술회관,"드로잉, 스크린 아트, 라이브 연주가 함께 빚어내는 새로운 세상",2024-04-13,2024-04-13,11:00,17:00,유료,세종시문화관광재단,세종특별자치시,044-850-8940,,145,전석 30000,24개월 이상,장애인 및 국가유공자 할인(최대 51퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 조치원읍 문예회관길 22,세종특별자치시 조치원읍 침산리 226-1,,,2025-08-16,5690000,세종특별자치시
(공연) 김주홍과 노름마치&박애리와 함께하는 여민락콘서트,세종예술의전당,대한민국 대표 퓨전음악단 노름마치와 판소리 <춘향가> 계승자 박애리의 협주,2024-04-17,2024-04-17,11:00,12:00,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,전석 10000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 세종시 창작가곡음악회 <선물>,세종예술의전당,세종시를 주제로 한 창작가곡을 세종시 음악가들의 목소리로 들을 수 있는 선물같은 시간,2024-04-26,2024-04-26,19:30,21:00,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,R 50000+ S 30000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 미샤 마이스키 트리오 연주회,세종예술의전당,시대의 거장 첼리스트 미샤 마이스키와 그 가족 트리오의 협주공연,2024-05-03,2024-05-03,19:30,21:30,유료,세종시문화관광재단,세종특별자치시,044-850-8989,,1071,VIP 90000+ R 70000+ S 50000,8세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 국립박물관로 22 세종예술의전당,세종특별자치시 나성동 857,,,2025-08-16,5690000,세종특별자치시
(공연) 어린이날 특별공연 <어둑시니>,세종문화예술회관,한국 전통요괴 어둑시니를 모티브로 한 어린이 공연,2024-05-04,2024-05-04,11:00,15:00,유료,세종시문화관광재단,세종특별자치시,044-850-8940,,830,전석 25000,6세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 조치원읍 문예회관길 22,세종특별자치시 조치원읍 침산리 226-1,,,2025-08-16,5690000,세종특별자치시
(공연) 어린이날 특별공연 <어둑시니>,세종문화예술회관,한국 전통요괴 어둑시니를 모티브로 한 어린이 공연,2024-05-05,2024-05-05,11:00,15:00,유료,세종시문화관광재단,세종특별자치시,044-850-8940,,830,전석 25000,6세 이상,장애인 및 국가유공자 할인(최대 50퍼센트 증빙서류 지참) 그외 할인정보 사이트 참고,,www.sjac.or.kr,,Y,세종특별자치시 조치원읍 문예회관길 22,세종특별자치시 조치원읍 침산리 226-1,,,2025-08-16,5690000,세종특별자치시
소년소녀합창단 정기공연,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-11-21,2018-11-21,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,400,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-07-21,4550000,충청남도 금산군
홈쇼핑 주식회사,금산다락원 생명의집,수다스런 세 여자들의 즐거운 웃음 버라이어티 쇼,2018-11-27,2018-11-27,19:30,21:00,유료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,723,10000,전체관람가,,,http://www.geumsan.go.kr/daragwon/,,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-07-21,4550000,충청남도 금산군
성악교실 발표회,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-11-27,2018-11-27,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,100,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-07-21,4550000,충청남도 금산군
인삼골합창단 정기공연,금산다락원 생명의집,금산다락원 예술단 정기공연,2018-11-30,2018-11-30,19:30,21:00,무료,충청남도 금산군청+금산다락원,충청남도 금산군청+금산다락원,041-750-4423,,300,,전체관람가,,,http://www.geumsan.go.kr/daragwon/,,Y,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,2025-07-21,4550000,충청남도 금산군
